species_id	20091FL-01-01-13	20091FL-01-01-13	20091FL-01-01-14	20091FL-01-01-14	20091FL-01-01-15	20091FL-01-01-15	20091FL-01-01-17	20091FL-01-01-17	20091FL-01-01-18	20091FL-01-01-18	20091FL-01-01-19	20091FL-01-01-19	20091FL-01-01-20	20091FL-01-01-20	20091FL-01-01-21	20091FL-01-01-21	20091FL-01-01-22	20091FL-01-01-22	20091FL-01-01-23	20091FL-01-01-23	20091FL-01-01-24	20091FL-01-01-24
112211	0.000	0.000	15.757	15.757	0.000	0.000	3.650	3.650	16.724	16.724	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
108721	0.000	0.000	0.000	0.000	0.000	0.000	0.318	0.318	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
130755	0.000	0.000	4.282	4.282	0.000	0.000	1.257	1.257	6.196	6.196	2.422	2.422	0.287	0.287	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
132071	0.000	0.000	6.617	6.617	0.000	0.000	2.074	2.074	10.067	10.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
126778	0.000	0.000	0.538	0.538	0.496	0.496	0.862	0.862	1.280	1.280	26.756	26.756	45.651	45.651	11.496	11.496	22.567	22.567	1.360	1.360	43.553	43.553
108556	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
146082	0.000	0.000	2.814	2.814	0.000	0.000	0.786	0.786	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
115369	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.466	1.466	0.807	0.807	0.603	0.603	0.000	0.000	0.000	0.000	0.802	0.802
139947	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
136088	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
107220	0.000	0.000	0.000	0.000	0.000	0.000	2.831	2.831	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
