species_id	20091FL-01-01-13	20091FL-01-01-13	20091FL-01-01-14	20091FL-01-01-14	20091FL-01-01-15	20091FL-01-01-15	20091FL-01-01-17	20091FL-01-01-17	20091FL-01-01-18	20091FL-01-01-18	20091FL-01-01-19	20091FL-01-01-19	20091FL-01-01-20	20091FL-01-01-20	20091FL-01-01-21	20091FL-01-01-21	20091FL-01-01-22	20091FL-01-01-22	20091FL-01-01-23	20091FL-01-01-23	20091FL-01-01-24	20091FL-01-01-24
100304	31	31	18	18	92	92	31	31	8	8	46	46	6	6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
103531	108	108	61	61	0.000	0.000	78	78	0.000	0.000	200	200	295	295	227	227	30	30	78	78	98	98
110918	71	71	34	34	0.000	0.000	0.000	0.000	76	76	0.000	0.000	34	34	0.000	0.000	0.000	0.000	0.000	0.000	12	12
101485	180	180	0.000	0.000	118	118	258	258	0.000	0.000	10	10	11	11	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
120881	7	7	0.000	0.000	0.000	0.000	0.000	0.000	20	20	0.000	0.000	18	18	0.000	0.000	0.000	0.000	0.000	0.000	39	39
103955	115	115	0.000	0.000	0.000	0.000	24	24	0.000	0.000	21	21	38	38	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
131071	37	37	21	21	0.000	0.000	12	12	19	19	213	213	113	113	86	86	78	78	0.000	0.000	116	116
114962	24	24	29	29	0.000	0.000	14	14	41	41	37	37	101	101	0.000	0.000	80	80	0.000	0.000	0.000	0.000
102407	26	26	36	36	0.000	0.000	103	103	4	4	141	141	156	156	25	25	112	112	96	96	170	170
119286	289	289	34	34	190	190	40	40	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
120896	345	345	247	247	342	342	145	145	17	17	7	7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
137981	268	268	76	76	118	118	210	210	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
128586	0.000	0.000	310	310	0.000	0.000	44	44	441	441	92	92	46	46	0.000	0.000	0.000	0.000	0.000	0.000	18	18
133523	0.000	0.000	245	245	8	8	129	129	153	153	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
102065	0.000	0.000	30	30	0.000	0.000	0.000	0.000	26	26	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
103525	0.000	0.000	8	8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100056	0.000	0.000	76	76	0.000	0.000	25	25	15	15	53	53	25	25	0.000	0.000	109	109	111	111	7	7
106616	0.000	0.000	33	33	0.000	0.000	16	16	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
116583	0.000	0.000	24	24	0.000	0.000	6	6	35	35	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101713	0.000	0.000	75	75	0.000	0.000	70	70	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
129214	0.000	0.000	14	14	101	101	75	75	131	131	4	4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
102629	0.000	0.000	10	10	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
116156	0.000	0.000	0.000	0.000	0.000	0.000	29	29	0.000	0.000	142	142	83	83	0.000	0.000	25	25	10	10	20	20
100120	0.000	0.000	0.000	0.000	0.000	0.000	16	16	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100162	0.000	0.000	0.000	0.000	0.000	0.000	11	11	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
116922	0.000	0.000	0.000	0.000	0.000	0.000	7	7	0.000	0.000	163	163	129	129	93	93	75	75	0.000	0.000	80	80
101148	0.000	0.000	0.000	0.000	0.000	0.000	31	31	0.000	0.000	48	48	42	42	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
110884	0.000	0.000	0.000	0.000	0.000	0.000	8	8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
129701	0.000	0.000	0.000	0.000	0.000	0.000	6	6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101347	0.000	0.000	0.000	0.000	0.000	0.000	25	25	0.000	0.000	19	19	52	52	0.000	0.000	0.000	0.000	0.000	0.000	14	14
100224	0.000	0.000	0.000	0.000	0.000	0.000	21	21	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
147595	0.000	0.000	0.000	0.000	0.000	0.000	18	18	0.000	0.000	43	43	47	47	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
128622	0.000	0.000	0.000	0.000	0.000	0.000	6	6	0.000	0.000	62	62	7	7	0.000	0.000	48	48	0.000	0.000	0.000	0.000
101745	0.000	0.000	0.000	0.000	0.000	0.000	28	28	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
112342	0.000	0.000	0.000	0.000	0.000	0.000	21	21	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
123672	0.000	0.000	0.000	0.000	0.000	0.000	26	26	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100556	0.000	0.000	0.000	0.000	0.000	0.000	5	5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
112600	0.000	0.000	0.000	0.000	0.000	0.000	4	4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
108600	0.000	0.000	0.000	0.000	0.000	0.000	4	4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100520	0.000	0.000	0.000	0.000	0.000	0.000	10	10	0.000	0.000	0.000	0.000	18	18	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101378	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6	6	120	120	167	167	85	85	74	74	33	33	183	183
102755	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	92	92	30	30	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
115971	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	25	25	0.000	0.000	6	6	0.000	0.000	0.000	0.000	0.000	0.000
144272	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	33	33	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
137434	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	12	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100122	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8	8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
108980	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	17	17	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101890	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	27	27	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
106607	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	23	23	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8	8
100129	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5	5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
112969	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8	8	13	13	0.000	0.000	0.000	0.000	0.000	0.000
116464	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4	4	68	68	0.000	0.000	0.000	0.000	0.000	0.000
