species_id	marker_read_counts	median_marker_coverage	marker_coverage	marker_relative_abundance	unique_fraction_covered
101948	549	5.876777	8.288250	0.209788	0.933333
100008	629	3.451149	9.183358	0.232445	1.000000
100097	589	1.873786	8.548718	0.216381	0.733333
101336	289	1.088608	4.097239	0.103707	0.600000
101253	324	1.051282	6.171384	0.156207	0.818182
100009	67	0.808743	0.915903	0.023183	0.600000
100007	9	0.000000	0.129745	0.003284	0.000000
102365	8	0.000000	0.099208	0.002511	0.133333
101670	106	0.000000	1.731130	0.043818	0.357143
100055	23	0.000000	0.342719	0.008675	0.333333
