species_id	marker_read_counts	median_marker_coverage	marker_coverage	marker_relative_abundance	unique_fraction_covered
100008	1521	15.438596	22.084687	0.397348	1.000000
101948	795	9.096045	11.989208	0.215710	1.000000
101336	701	6.251621	10.133432	0.182321	0.866667
101253	301	3.960993	5.796174	0.104285	0.909091
101670	108	0.365512	1.703207	0.030644	0.500000
103255	30	0.000000	0.603470	0.010858	0.363636
100009	15	0.000000	0.219856	0.003956	0.200000
104287	10	0.000000	0.156712	0.002820	0.285714
101910	7	0.000000	0.092889	0.001671	0.200000
100111	73	0.000000	1.075579	0.019352	0.200000
100054	40	0.000000	0.549244	0.009882	0.133333
100097	22	0.000000	0.318738	0.005735	0.400000
101923	10	0.000000	0.155169	0.002792	0.200000
100055	30	0.000000	0.433314	0.007796	0.466667
100007	19	0.000000	0.268510	0.004831	0.133333
