species_id	marker_read_counts	median_marker_coverage	marker_coverage	marker_relative_abundance	unique_fraction_covered
101253	1365	26.943366	25.985007	0.349834	1.000000
101948	1131	14.070447	16.731820	0.225259	1.000000
100008	820	9.670251	11.789759	0.158725	0.933333
101336	564	8.623549	7.948225	0.107006	0.733333
100055	238	2.334311	3.335902	0.044911	0.666667
100097	278	2.062842	3.968836	0.053432	0.533333
100007	184	0.942529	2.718109	0.036594	0.533333
100111	44	0.000000	0.636239	0.008566	0.200000
103255	56	0.000000	1.164120	0.015672	0.363636
