species_id	marker_read_counts	median_marker_coverage	marker_coverage	marker_relative_abundance	unique_fraction_covered
101948	2212	30.676558	33.025517	0.425117	1.000000
100008	880	11.121864	12.587395	0.162030	1.000000
101670	504	8.942799	8.211497	0.105702	0.928571
100097	591	7.721491	8.522485	0.109705	0.866667
101253	278	4.559956	5.363448	0.069040	0.909091
101336	240	2.168612	3.432150	0.044180	0.733333
100055	175	1.666667	2.592571	0.033373	0.933333
100007	38	0.503333	0.531073	0.006836	0.533333
103255	47	0.328874	0.953738	0.012277	0.363636
102365	34	0.000000	0.450836	0.005803	0.466667
100101	11	0.000000	0.131120	0.001688	0.133333
100111	11	0.000000	0.161857	0.002083	0.200000
100009	57	0.000000	0.834664	0.010744	0.400000
101923	33	0.000000	0.523840	0.006743	0.266667
100054	26	0.000000	0.363491	0.004679	0.200000
