species_id	marker_read_counts	median_marker_coverage	marker_coverage	marker_relative_abundance	unique_fraction_covered
100008	488	5.392473	7.021566	0.214984	1.000000
101336	664	3.641280	9.231262	0.282640	1.000000
101948	488	1.814661	7.371760	0.225706	0.933333
101253	226	1.383598	4.352074	0.133250	0.909091
100007	46	0.548450	0.663297	0.020309	0.666667
100097	14	0.000000	0.197436	0.006045	0.333333
103255	13	0.000000	0.269861	0.008263	0.272727
100111	13	0.000000	0.185905	0.005692	0.133333
100009	9	0.000000	0.130139	0.003985	0.200000
101670	29	0.000000	0.476876	0.014601	0.214286
100055	186	0.000000	2.760719	0.084527	0.466667
