species_id	marker_read_counts	median_marker_coverage	marker_coverage	marker_relative_abundance	unique_fraction_covered
101948	1742	15.972414	25.882703	0.339014	1.000000
100008	1220	8.720751	17.775972	0.232831	0.933333
101336	541	4.665563	8.027318	0.105142	0.733333
100097	689	4.597627	10.179093	0.133327	0.800000
101253	85	1.456989	1.618845	0.021204	0.818182
101670	344	1.214653	5.539485	0.072557	0.714286
100055	130	0.419444	1.655503	0.021684	0.466667
103255	21	0.000000	0.436459	0.005717	0.181818
100007	32	0.000000	0.462087	0.006052	0.200000
100009	210	0.000000	3.111505	0.040755	0.466667
100054	22	0.000000	0.332532	0.004356	0.133333
102365	18	0.000000	0.239050	0.003131	0.133333
101923	69	0.000000	1.086498	0.014231	0.266667
