species_id	marker_read_counts	median_marker_coverage	marker_coverage	marker_relative_abundance	unique_fraction_covered
101948	3676	54.500000	54.506404	0.283752	1.000000
100008	2237	26.953368	32.452979	0.168945	1.000000
100055	1406	20.756944	20.745702	0.107999	1.000000
101253	1343	20.686622	25.603852	0.133290	1.000000
100097	1214	19.718202	17.652367	0.091895	0.933333
101336	1130	10.820088	16.555030	0.086183	0.800000
100007	636	10.571049	9.217663	0.047986	0.933333
103255	493	9.092279	10.084400	0.052498	1.000000
101923	216	1.466019	3.201371	0.016666	0.600000
100009	86	0.000000	1.188997	0.006190	0.400000
102365	11	0.000000	0.132630	0.000690	0.333333
101670	4	0.000000	0.062391	0.000325	0.142857
102348	8	0.000000	0.125441	0.000653	0.142857
100111	38	0.000000	0.562721	0.002929	0.200000
