species_id	marker_read_counts	median_marker_coverage	marker_coverage	marker_relative_abundance	unique_fraction_covered
101948	891	7.418398	13.120424	0.386485	0.866667
101253	371	4.548544	7.052863	0.207755	0.909091
100055	224	1.369327	3.316439	0.097692	0.600000
100008	574	1.284473	7.995569	0.235524	0.800000
100097	34	0.391192	0.475740	0.014014	0.600000
101336	129	0.000000	1.591321	0.046875	0.466667
103255	10	0.000000	0.204323	0.006019	0.272727
101923	4	0.000000	0.063713	0.001877	0.133333
100007	10	0.000000	0.127664	0.003761	0.133333
