species_id	marker_read_counts	median_marker_coverage	marker_coverage	marker_relative_abundance	unique_fraction_covered
101948	2246	25.731949	33.091982	0.369956	1.000000
101253	1211	25.441242	22.997157	0.257100	1.000000
100055	769	7.716553	11.342620	0.126806	0.866667
100097	522	5.739496	7.079783	0.079149	0.800000
100008	292	3.247312	4.257312	0.047595	0.866667
101336	354	2.537815	4.979487	0.055669	0.733333
101923	232	1.035651	3.692089	0.041276	0.533333
100007	86	0.000000	1.153831	0.012899	0.266667
103255	42	0.000000	0.854055	0.009548	0.363636
