species_id	marker_read_counts	median_marker_coverage	marker_coverage	marker_relative_abundance	unique_fraction_covered
101253	4288	69.654839	80.274525	0.467435	1.000000
101948	2444	30.951872	35.993142	0.209586	1.000000
101336	1094	13.928664	15.414694	0.089759	0.866667
100008	1240	13.732662	17.468341	0.101717	0.866667
100007	486	3.689243	6.900684	0.040182	0.933333
100055	376	2.664459	5.350030	0.031153	0.933333
100097	487	2.516667	7.043491	0.041014	0.666667
103255	79	0.512241	1.516040	0.008828	0.636364
100111	7	0.000000	0.101001	0.000588	0.133333
101923	105	0.000000	1.672152	0.009737	0.466667
