species_id	20091FL-01-01-13	20091FL-01-01-13	20091FL-01-01-14	20091FL-01-01-14	20091FL-01-01-15	20091FL-01-01-15	20091FL-01-01-17	20091FL-01-01-17	20091FL-01-01-18	20091FL-01-01-18	20091FL-01-01-19	20091FL-01-01-19	20091FL-01-01-20	20091FL-01-01-20	20091FL-01-01-21	20091FL-01-01-21	20091FL-01-01-22	20091FL-01-01-22	20091FL-01-01-23	20091FL-01-01-23	20091FL-01-01-24	20091FL-01-01-24
112211	0.656	0.656	16.664	16.664	1.321	1.321	3.936	3.936	23.329	23.329	0.276	0.276	0.466	0.466	0.000	0.000	0.073	0.073	0.000	0.000	0.000	0.000
108721	3.271	3.271	1.691	1.691	0.000	0.000	1.354	1.354	1.071	1.071	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
130755	0.341	0.341	4.809	4.809	0.082	0.082	1.485	1.485	10.098	10.098	2.946	2.946	1.448	1.448	1.349	1.349	0.000	0.000	0.673	0.673	0.502	0.502
132071	2.243	2.243	7.276	7.276	0.361	0.361	1.754	1.754	13.755	13.755	0.000	0.000	0.115	0.115	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
126778	0.332	0.332	0.668	0.668	0.570	0.570	1.065	1.065	1.160	1.160	26.020	26.020	46.710	46.710	12.648	12.648	19.526	19.526	5.517	5.517	51.666	51.666
108556	0.631	0.631	0.150	0.150	0.000	0.000	0.000	0.000	0.451	0.451	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
146082	1.122	1.122	3.828	3.828	0.000	0.000	1.153	1.153	5.390	5.390	0.554	0.554	0.102	0.102	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
115369	0.974	0.974	0.139	0.139	0.000	0.000	0.498	0.498	0.128	0.128	3.353	3.353	1.076	1.076	3.340	3.340	0.000	0.000	0.071	0.071	2.198	2.198
139947	1.091	1.091	0.919	0.919	0.000	0.000	0.364	0.364	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
136088	4.887	4.887	0.000	0.000	0.140	0.140	0.226	0.226	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
107220	1.949	1.949	1.789	1.789	0.734	0.734	3.471	3.471	0.000	0.000	1.097	1.097	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
138779	1.278	1.278	0.412	0.412	0.074	0.074	0.132	0.132	0.000	0.000	0.000	0.000	0.706	0.706	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
141133	0.324	0.324	9.690	9.690	5.352	5.352	7.927	7.927	13.812	13.812	0.430	0.430	0.158	0.158	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
137669	1.640	1.640	1.221	1.221	0.988	0.988	1.698	1.698	0.512	0.512	2.419	2.419	0.556	0.556	2.448	2.448	0.185	0.185	1.107	1.107	1.536	1.536
