species_id	20091FL-01-01-13	20091FL-01-01-13	20091FL-01-01-14	20091FL-01-01-14	20091FL-01-01-15	20091FL-01-01-15	20091FL-01-01-17	20091FL-01-01-17	20091FL-01-01-18	20091FL-01-01-18	20091FL-01-01-19	20091FL-01-01-19	20091FL-01-01-20	20091FL-01-01-20	20091FL-01-01-21	20091FL-01-01-21	20091FL-01-01-22	20091FL-01-01-22	20091FL-01-01-23	20091FL-01-01-23	20091FL-01-01-24	20091FL-01-01-24
112211	0.400	0.400	0.933	0.933	0.333	0.333	0.867	0.867	0.933	0.933	0.333	0.333	0.333	0.333	0.000	0.000	0.133	0.133	0.000	0.000	0.000	0.000
108721	0.267	0.267	0.333	0.333	0.000	0.000	0.533	0.533	0.200	0.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
130755	0.273	0.273	0.818	0.818	0.000	0.000	0.909	0.909	0.636	0.636	0.818	0.818	0.545	0.545	0.182	0.182	0.000	0.000	0.273	0.273	0.364	0.364
132071	0.133	0.133	0.733	0.733	0.133	0.133	0.533	0.533	0.800	0.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
126778	0.333	0.333	0.600	0.600	0.533	0.533	0.867	0.867	0.733	0.733	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.867	0.867	1.000	1.000
108556	0.133	0.133	0.200	0.200	0.000	0.000	0.000	0.000	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
146082	0.133	0.133	0.667	0.667	0.000	0.000	0.533	0.533	0.467	0.467	0.133	0.133	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
115369	0.267	0.267	0.200	0.200	0.000	0.000	0.267	0.267	0.133	0.133	0.600	0.600	0.600	0.600	0.533	0.533	0.000	0.000	0.133	0.133	0.533	0.533
139947	0.182	0.182	0.455	0.455	0.000	0.000	0.182	0.182	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
136088	0.154	0.154	0.000	0.000	0.154	0.154	0.154	0.154	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
107220	0.333	0.333	0.333	0.333	0.133	0.133	0.800	0.800	0.000	0.000	0.267	0.267	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
138779	0.200	0.200	0.267	0.267	0.133	0.133	0.200	0.200	0.000	0.000	0.000	0.000	0.400	0.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
141133	0.400	0.400	1.000	1.000	0.400	0.400	1.000	1.000	0.667	0.667	0.400	0.400	0.267	0.267	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
137669	0.267	0.267	0.800	0.800	0.200	0.200	0.733	0.733	0.600	0.600	0.467	0.467	0.333	0.333	0.333	0.333	0.333	0.333	0.400	0.400	0.400	0.400
134974	0.286	0.286	0.571	0.571	0.000	0.000	0.929	0.929	0.214	0.214	0.143	0.143	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100304	0.400	0.400	0.267	0.267	0.600	0.600	0.333	0.333	0.133	0.133	0.467	0.467	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
103531	0.200	0.200	0.267	0.267	0.000	0.000	0.533	0.533	0.000	0.000	0.733	0.733	0.800	0.800	0.467	0.467	0.200	0.200	0.400	0.400	0.467	0.467
110918	0.000	0.000	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101485	0.357	0.357	0.000	0.000	0.214	0.214	0.857	0.857	0.000	0.000	0.286	0.286	0.143	0.143	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
120881	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.133	0.133	0.000	0.000	0.267	0.267	0.000	0.000	0.000	0.000	0.000	0.000	0.200	0.200
103955	0.133	0.133	0.000	0.000	0.000	0.000	0.267	0.267	0.000	0.000	0.133	0.133	0.200	0.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
131071	0.182	0.182	0.273	0.273	0.000	0.000	0.182	0.182	0.182	0.182	0.455	0.455	0.545	0.545	0.273	0.273	0.455	0.455	0.000	0.000	0.455	0.455
114962	0.143	0.143	0.143	0.143	0.000	0.000	0.286	0.286	0.143	0.143	0.357	0.357	0.429	0.429	0.000	0.000	0.143	0.143	0.000	0.000	0.000	0.000
102407	0.200	0.200	0.200	0.200	0.000	0.000	0.800	0.800	0.133	0.133	0.667	0.667	0.600	0.600	0.267	0.267	0.333	0.333	0.333	0.333	0.600	0.600
119286	0.200	0.200	0.133	0.133	0.133	0.133	0.267	0.267	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
120896	0.400	0.400	0.800	0.800	0.400	0.400	0.733	0.733	0.200	0.200	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
137981	0.455	0.455	0.545	0.545	0.182	0.182	0.909	0.909	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
128586	0.000	0.000	0.933	0.933	0.000	0.000	0.467	0.467	0.467	0.467	0.400	0.400	0.267	0.267	0.000	0.000	0.000	0.000	0.000	0.000	0.133	0.133
133523	0.000	0.000	0.600	0.600	0.133	0.133	0.533	0.533	0.467	0.467	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
102065	0.000	0.000	0.357	0.357	0.000	0.000	0.000	0.000	0.500	0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
103525	0.000	0.000	0.200	0.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100056	0.000	0.000	0.200	0.200	0.000	0.000	0.200	0.200	0.200	0.200	0.200	0.200	0.133	0.133	0.000	0.000	0.267	0.267	0.133	0.133	0.133	0.133
106616	0.000	0.000	0.133	0.133	0.000	0.000	0.267	0.267	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
116583	0.000	0.000	0.200	0.200	0.000	0.000	0.133	0.133	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101713	0.000	0.000	0.308	0.308	0.000	0.000	0.385	0.385	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
129214	0.000	0.000	0.200	0.200	0.200	0.200	0.733	0.733	0.333	0.333	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
102629	0.000	0.000	0.267	0.267	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
116156	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.500	0.000	0.000	0.600	0.600	0.800	0.800	0.000	0.000	0.200	0.200	0.200	0.200	0.400	0.400
100120	0.000	0.000	0.000	0.000	0.000	0.000	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100162	0.000	0.000	0.000	0.000	0.000	0.000	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
116922	0.000	0.000	0.000	0.000	0.000	0.000	0.143	0.143	0.000	0.000	0.357	0.357	0.357	0.357	0.143	0.143	0.286	0.286	0.000	0.000	0.143	0.143
101148	0.000	0.000	0.000	0.000	0.000	0.000	0.267	0.267	0.000	0.000	0.133	0.133	0.400	0.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
