species_id	20091FL-01-01-13	20091FL-01-01-13	20091FL-01-01-14	20091FL-01-01-14	20091FL-01-01-17	20091FL-01-01-17	20091FL-01-01-18	20091FL-01-01-18	20091FL-01-01-19	20091FL-01-01-19	20091FL-01-01-20	20091FL-01-01-20	20091FL-01-01-21	20091FL-01-01-21	20091FL-01-01-22	20091FL-01-01-22	20091FL-01-01-23	20091FL-01-01-23	20091FL-01-01-24	20091FL-01-01-24
100843	0.000	0.000	0.001	0.001	0.001	0.001	0.001	0.001	0.013	0.013	0.031	0.031	0.002	0.002	0.008	0.008	0.001	0.001	0.009	0.009
100316	0.011	0.011	0.005	0.005	0.007	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101208	0.007	0.007	0.004	0.004	0.003	0.003	0.003	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100852	0.010	0.010	0.004	0.004	0.013	0.013	0.003	0.003	0.006	0.006	0.005	0.005	0.003	0.003	0.001	0.001	0.000	0.000	0.000	0.000
100890	0.004	0.004	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100551	0.002	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100135	0.002	0.002	0.011	0.011	0.003	0.003	0.016	0.016	0.005	0.005	0.002	0.002	0.001	0.001	0.007	0.007	0.004	0.004	0.001	0.001
101033	0.003	0.003	0.002	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100770	0.007	0.007	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100819	0.000	0.000	0.016	0.016	0.005	0.005	0.018	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100984	0.004	0.004	0.003	0.003	0.004	0.004	0.001	0.001	0.004	0.004	0.001	0.001	0.009	0.009	0.001	0.001	0.008	0.008	0.004	0.004
100098	0.002	0.002	0.004	0.004	0.005	0.005	0.006	0.006	0.015	0.015	0.020	0.020	0.027	0.027	0.011	0.011	0.041	0.041	0.018	0.018
100965	0.006	0.006	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100637	0.001	0.001	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101071	0.000	0.000	0.002	0.002	0.003	0.003	0.008	0.008	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100058	0.002	0.002	0.004	0.004	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100859	0.003	0.003	0.005	0.005	0.001	0.001	0.003	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100017	0.007	0.007	0.007	0.007	0.006	0.006	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100356	0.001	0.001	0.000	0.000	0.002	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100989	0.002	0.002	0.000	0.000	0.001	0.001	0.000	0.000	0.006	0.006	0.002	0.002	0.012	0.012	0.000	0.000	0.000	0.000	0.004	0.004
100327	0.003	0.003	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100073	0.000	0.000	0.002	0.002	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101263	0.002	0.002	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100016	0.009	0.009	0.010	0.010	0.007	0.007	0.004	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101233	0.005	0.005	0.000	0.000	0.002	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101019	0.004	0.004	0.002	0.002	0.003	0.003	0.000	0.000	0.005	0.005	0.008	0.008	0.012	0.012	0.002	0.002	0.008	0.008	0.003	0.003
100163	0.004	0.004	0.007	0.007	0.004	0.004	0.008	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
